,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,1.0,177.0,211.0,286.0,289.0,84.0,107.0,172799.0,15664.5,16052.0,24416.0,22779.0,7559.0,7977.0,13675725.946972392,21295.0,22260.5,33559.0,31464.0,10320.0,11069.0,18857845.34124181,26206.0,26787.0,40898.0,37985.0,12720.0,13207.0,22804225.076055564,28374.0,29515.0,44669.0,41760.5,13745.0,14679.0,25012887.475943632,7309.0,7404.0,11304.0,10531.0,3528.0,3671.0,6325302.348567296,10962.0,11508.0,17395.0,16244.0,5317.0,5724.5,9725168.89744986,16909697.053027608,17602743.65875819,26616288.923944436,24926023.524056368,8189813.651432704,8764324.10255014,14929747200.5
1,1.0,210.0,215.0,309.0,305.0,92.0,93.0,172706.0,22050.0,22490.0,32070.0,30922.0,9525.0,10075.0,18051584.598231226,22660.0,23112.5,32994.0,31820.0,9890.0,10391.0,18574034.625308886,32820.0,33441.0,47740.5,46068.0,14246.0,15011.0,26847383.744039416,33128.0,33755.0,48177.0,46512.5,14452.0,15158.0,27124897.0590499,9795.0,9890.0,14182.0,13608.0,4232.0,4509.0,7961905.16021136,9455.0,9604.0,13726.0,13207.0,4047.0,4324.5,7710305.090279107,18216675.401768774,18557755.374691114,26518770.255960584,25550432.9409501,7927046.83978864,8351352.909720893,14913681218.0
2,1.0,202.0,183.0,315.0,325.0,91.0,113.0,172843.74050373177,20402.0,17213.0,31021.0,31304.0,9728.0,10643.0,17050624.543727994,19753.0,16744.5,29962.0,30264.0,9319.0,10292.0,16481384.291534401,32609.0,27683.0,49612.5,50003.0,15423.0,16955.0,27253573.21204617,34346.0,29211.0,52372.0,52812.5,16234.0,17915.0,28755637.629136503,8654.0,7334.0,13242.0,13341.0,4140.5,4545.0,7249880.657627607,12183.0,10387.0,18640.0,18810.0,5738.0,6384.5,10233510.916075435,17863811.038025826,15149020.220648512,27192205.04662934,27418578.03457632,8478899.728211984,9297831.760846253,14937479315.660683
3,1.0,228.0,203.0,297.0,286.0,107.0,95.0,172653.0998086601,25992.0,24445.0,33487.0,33372.0,12118.0,11057.0,20048736.962834187,21839.0,20604.5,28060.0,28043.0,10151.0,9299.0,16851292.459550418,34229.0,32231.0,44104.5,43956.0,16032.0,14517.0,26396048.399525143,31836.0,30015.0,40986.0,40898.0,14939.0,13530.0,24573037.91610783,12278.0,11570.0,15747.0,15663.0,5724.5,5214.0,9443752.983718986,10603.0,9986.0,13698.0,13640.0,4951.0,4512.5,8175775.503482603,19316169.793540314,18197286.801607586,24881922.243646905,24805748.62916896,9030128.695807645,8226268.978340108,14904546436.769573
4,1.0,202.0,199.0,320.0,280.0,117.0,101.0,172932.2542758023,20402.0,21022.0,30013.0,26514.0,10936.0,9344.0,17289245.26022198,19176.0,19800.5,28200.0,24848.0,10326.0,8706.0,16238614.589220751,34627.0,35480.0,51200.0,45308.0,18798.0,15989.0,29402868.30037754,30046.0,30872.0,44292.0,39200.0,16234.0,13771.0,25516564.65354775,12698.0,12957.0,18642.0,16526.0,6844.5,5836.0,10741428.889462035,11058.0,11393.0,16331.0,14509.0,5981.0,5100.5,9400393.054627191,17643070.103490084,18174904.011663903,25935453.067879193,22904466.54367689,9491644.860806834,8065764.627228841,14952782284.45537
5,1.0,198.0,204.0,325.0,314.0,106.0,104.0,172920.0,19602.0,20315.0,33992.0,32598.0,10340.0,10303.0,17475857.411881424,20077.0,20808.0,34910.0,33466.0,10630.0,10532.0,17931731.069526114,30358.0,31390.0,52812.5,50798.0,16144.0,15875.0,27134329.697548404,29574.0,30590.0,51252.0,49298.0,15671.0,15417.0,26364483.80614013,10648.0,10994.0,18306.0,17613.0,5618.0,5536.0,9448404.8784842,10289.0,10684.0,17925.0,17239.0,5488.0,5408.0,9220465.20104548,16762302.588118577,17343948.930473886,29064670.302451596,27932396.19385987,8881115.1215158,8763214.79895452,14950663200.0
6,1.0,200.0,204.0,311.0,297.0,111.0,105.0,172630.66590379062,20000.0,21809.0,30692.0,30555.0,11614.0,9573.0,17404364.01529972,18991.0,20808.0,29159.0,29078.0,11208.0,9046.0,16596807.179987017,31508.0,34285.0,48360.5,48262.0,18261.0,15152.0,27431784.867592216,28845.0,31510.0,44105.0,44104.5,16751.0,13737.0,25080386.345610987,10586.0,11436.0,16260.0,16216.0,6160.5,5095.0,9215645.332774527,11427.0,12374.0,17503.0,17448.0,6560.0,5512.5,9916481.417114973,17121769.165458407,18619848.66438627,26256352.228486665,26190921.42781483,9946358.58254623,8209738.502783042,14900673405.193089
7,1.0,224.0,219.0,281.0,324.0,99.0,99.0,172885.75029662345,25088.0,22637.0,29011.0,35498.0,11155.0,9833.0,17989277.349282824,26419.0,23980.5,30864.0,37365.0,11690.0,10485.0,19065762.655549914,33933.0,30675.0,39480.5,48095.0,14994.0,13443.0,24439875.150858313,37078.0,33591.0,42949.0,52488.0,16504.0,14517.0,26646489.05407657,11021.0,9991.0,12825.0,15572.0,4900.5,4342.0,7928129.831593976,12343.0,11196.0,14376.0,17559.0,5459.0,4900.5,8924653.641544394,20737130.71716083,18796216.65941062,24141020.682492875,29368494.04202942,9187559.447771747,8191035.637821328,14944741327.813217
8,1.0,189.0,200.0,297.0,310.0,89.0,96.0,172342.0,17860.5,18574.0,28132.0,29402.0,8227.0,9458.0,16158385.633697972,19226.0,20000.0,30336.0,31648.0,8838.0,10156.0,17384531.36714775,28001.0,29064.0,44104.5,46104.0,12981.0,14857.0,25326534.43953606,29188.0,30352.0,45966.0,48050.0,13461.0,15438.0,26404438.342419364,8594.0,8962.0,13452.0,14129.0,3960.5,4483.0,7747809.380583341,8686.0,9044.0,13655.0,14322.0,4061.0,4608.0,7860643.865304036,16414252.366302028,17083868.63285225,25859039.56046394,27021581.657580636,7590628.619416659,8684188.134695964,14850882482.0
9,1.0,211.0,209.0,292.0,335.0,117.0,101.0,172931.38295580097,22260.5,23060.0,32453.0,35764.0,12431.0,11435.0,19042084.045036014,21039.0,21840.5,30615.0,33708.0,11761.0,10777.0,17976074.62682432,29159.0,30413.0,42632.0,46881.0,16310.0,15053.0,25019747.347505078,34921.0,36307.0,50939.0,56112.5,19520.0,17966.0,29938289.646605667,12256.0,12692.0,17854.0,19675.0,6844.5,6318.0,10493634.79351649,9876.0,10332.0,14439.0,15869.0,5499.0,5100.5,8487359.129651507,17446437.75863799,18166584.410938084,25476216.475588806,27993723.64358766,9739337.012312222,8978710.54888439,14952631605.502947
